name,ISIN,symbol,market,trading currency
CHOICE,BE0974370026,MLTV,Euronext Access Brussels,EUR
CHRISTIAN DIOR,FR0000130403,CDI,Euronext Paris,EUR
CIBIX,BE0003706208,-,Euronext Expert Market,EUR
CIBOX INTER A CTIV,FR0000054322,CIB,Euronext Paris,EUR
CIE BOIS SAUVAGE,BE0003592038,COMB,Euronext Brussels,EUR
CIE DU MONT BLANC,FR0000060428,MLCMB,Euronext Access Paris,EUR
Cie HET ZOUTE,BE0027840017,-,Euronext Expert Market,EUR
CIOA,FR0012384907,MLCIO,Euronext Access Paris,EUR
CIRCA GROUP,NO0010917594,CIRCA,Euronext Growth Oslo,NOK
CISCO SYSTEM INC,US17275R1023,CIS,Traded not listed Brussels,USD
CKV,BE0021556221,-,Euronext Expert Market,EUR
CLARANOVA,FR0013426004,CLA,Euronext Paris,EUR
CLASQUIN,FR0004152882,ALCLA,Euronext Growth Paris,EUR
CLEAN SEAS SEAFOOD,AU000000CSS3,CSS,Euronext Growth Oslo,NOK
CLOUDBERRY CLEAN,NO0010876642,CLOUD,Oslo Børs,NOK
CM.COM,NL0012747059,CMCOM,Euronext Amsterdam,EUR
CNIM GROUP,FR0000053399,COM,Euronext Paris,EUR
CNOVA,NL0010949392,CNV,Euronext Paris,EUR
CNP ASSURANCES,FR0000120222,CNP,Euronext Paris,EUR
CO.BR.HA,BE0003519270,COBH,Euronext Growth Brussels,EUR
CO2 CAPSOL,NO0010923121,CAPSL,Euronext Growth Oslo,NOK
Coca-ColaEuropacif,GB00BDCPN049,CCEP,Euronext Amsterdam,EUR
COFACE,FR0010667147,COFA,Euronext Paris,EUR
COFIDUR,FR0013257409,ALCOF,Euronext Growth Paris,EUR
COFINA,,,,
COFINIMMO,BE0003593044,COFB,Euronext Brussels,EUR
COGELEC,FR0013335742,ALLEC,Euronext Growth Paris,EUR
COGRA,FR0011071570,ALCOG,Euronext Growth Paris,EUR
COHERIS,FR0004031763,COH,Euronext Paris,EUR
COIL,BE0160342011,ALCOI,Euronext Growth Paris,EUR
COLAS,FR0000121634,RE,Euronext Paris,EUR
COLIPAYS,FR0010959684,MLCLP,Euronext Access Paris,EUR
COLRUYT,BE0974256852,COLR,Euronext Brussels,EUR
COMMERCIALE BELGE,BE0013068706,-,Euronext Expert Market,EUR
COMPAGNIE ODET,FR0000062234,ODET,Euronext Paris,EUR
CONDOR TECHNOLOG,BE6252013725,MLMFI,Euronext Access Paris,EUR
CONDURIL,PTCDU0AE0003,CDU,Euronext Access Lisbon,EUR
CONSORT NT,FR0000077828,MLCNT,Euronext Access Paris,EUR
CONSTRUCTEURS BOIS,FR00140007I9,MLLCB,Euronext Access Paris,EUR
CONTEXTVISION,SE0014731154,CONTX,Oslo Børs,NOK
CONTINENT. LAND CY,NL0000121622,-,Euronext Expert Market,EUR
COPAM,PTCPA0AP0006,CPA,Euronext Access Lisbon,EUR
CORBION,NL0010583399,CRBN,Euronext Amsterdam,EUR
CORE LABORATORIES,NL0000200384,CLB,Euronext Amsterdam,EUR
COREP LIGHTING,FR0010035816,MLCOR,Euronext Access Paris,EUR
CORRE ENERGY B.V.,NL0015000DY3,CORRE,Euronext Growth Dublin,EUR
CORTICEIRA AMORIM,PTCOR0AE0006,COR,Euronext Lisbon,EUR
COURBET,FR0004998318,MLCOU,Euronext Access Paris,EUR
COURTOIS,FR0000065393,COUR,Euronext Paris,EUR
COVIVIO,FR0000064578,COV,Euronext Paris,EUR
COVIVIO HOTELS,FR0000060303,COVH,Euronext Paris,EUR
CP 76 PETROFINA,BE0099150162,-,Euronext Expert Market,EUR
CP 79 PETROFINA,BE0099395676,-,Euronext Expert Market,EUR
CRAYON GROUP HOLD,NO0010808892,CRAYN,Oslo Børs,NOK
CRCAM ALP.PROV.CCI,FR0000044323,CRAP,Euronext Paris,EUR
CRCAM ATL.VEND.CCI,FR0000185506,CRAV,Euronext Paris,EUR
CRCAM BRIE PIC2CCI,FR0010483768,CRBP2,Euronext Paris,EUR
CRCAM ILLE-VIL.CCI,FR0000045213,CIV,Euronext Paris,EUR
CRCAM LANGUED CCI,FR0010461053,CRLA,Euronext Paris,EUR
CRCAM LOIRE HTE L.,FR0000045239,CRLO,Euronext Paris,EUR
CRCAM MORBIHAN CCI,FR0000045551,CMO,Euronext Paris,EUR
CRCAM NORD CCI,FR0000185514,CNF,Euronext Paris,EUR
CRCAM NORM.SEINE,FR0000044364,CCN,Euronext Paris,EUR
CRCAM PARIS ET IDF,FR0000045528,CAF,Euronext Paris,EUR
CRCAM SUD R.A.CCI,FR0000045346,CRSU,Euronext Paris,EUR
CRCAM TOURAINE CCI,FR0000045304,CRTO,Euronext Paris,EUR
CREDIMO,BE0015460372,-,Euronext Expert Market,EUR
CREDIMO HOLDING,BE0162868054,-,Euronext Expert Market,EUR
CREDIT AGRICOLE,FR0000045072,ACA,Euronext Paris,EUR
CRESCENT,BE0003836534,OPTI,Euronext Brussels,EUR
CRH PLC 5PCCumPref,IE0001827264,DD8A,Euronext Dublin,EUR
CRH PLC 7PCCumPref,IE0001827603,DD8B,Euronext Dublin,EUR
CRH PLC ord,IE0001827041,CRG,Euronext Dublin,EUR
CROSSJECT,FR0011716265,ALCJ,Euronext Growth Paris,EUR
CROSSJECT BS,FR0014007HU2,CJBS,Euronext Growth Paris,EUR
CROSSWOOD,FR0000050395,CROS,Euronext Paris,EUR
CRYSTAL PEAK SHARE,KYG2581M1078,CPA1,Euronext Amsterdam,USD
CRYSTAL PEAK WAR,KYG2581M1151,CPA1W,Euronext Amsterdam,USD
CS BRUX,BE0010566900,-,Euronext Expert Market,EUR
CS GROUP.,FR0007317813,SX,Euronext Paris,EUR
CSAM HEALTH GROUP,NO0010894512,CSAM,Euronext Growth Oslo,NOK
CTAC,NL0000345577,CTAC,Euronext Amsterdam,EUR
CTC ORD SHARES,NL0015000DC9,CTCA1,Euronext Amsterdam,EUR
CTC TREAS SHARES,NL0015000F09,CTCT1,Euronext Amsterdam,EUR
CTC WARRANTS,NL0015000DD7,CTCW1,Euronext Amsterdam,EUR
CTP,NL00150006R6,CTPNV,Euronext Amsterdam,EUR
CTT CORREIOS PORT,PTCTT0AM0001,CTT,Euronext Lisbon,EUR
CUMULEX,BE0003463685,CLEX,Euronext Brussels,EUR
CUMULEX (ben/win),BE0010026350,-,Euronext Expert Market,EUR
CYBERGUN,FR0014004QR6,ALCYB,Euronext Growth Paris,EUR
CYBERGUN BSA 2,FR0013340817,CYBBT,Euronext Growth Paris,EUR
CYBERGUN BSA K1,FR0013507977,CYBK1,Euronext Growth Paris,EUR
CYBERGUN BSA K2A,FR0013507985,CYBKA,Euronext Growth Paris,EUR
CYBERGUN BSA K2B,FR0013508009,CYBKB,Euronext Growth Paris,EUR
CYVIZ,NO0010015175,CYVIZ,Euronext Growth Oslo,NOK
D'IETEREN GROUP,BE0974259880,DIE,Euronext Brussels,EUR
D.L.S.I.,FR0010404368,ALDLS,Euronext Growth Paris,EUR
DALATA HOTEL GP.,IE00BJMZDW83,DHG,Euronext Dublin,EUR
DAMARIS,FR0000077885,MLDAM,Euronext Access Paris,EUR
DAMARTEX,FR0000185423,ALDAR,Euronext Growth Paris,EUR
DANONE,FR0000120644,BN,Euronext Paris,EUR
DASSAULT AVIATION,FR0014004L86,AM,Euronext Paris,EUR
DASSAULT SYS NV22,FR00140078T7,DSYNV,Euronext Paris,EUR
DASSAULT SYSTEMES,FR0014003TT8,DSY,Euronext Paris,EUR
DATALEX PLC,IE0000527006,DLE,Euronext Growth Dublin,EUR
DBT,FR0013066750,ALDBT,Euronext Growth Paris,EUR
DBV TECHNOLOGIES,FR0010417345,DBV,Euronext Paris,EUR
DECEUNINCK,BE0003789063,DECB,Euronext Brussels,EUR
DEE TECH SHARES,FR0014003G01,DEE,Euronext Paris,EUR
DEE TECH WARRANTS,FR0014003G19,DEEW,Euronext Paris,EUR
DEEP VALUE DRILLER,NO0010955917,DVD,Euronext Growth Oslo,NOK
DEINOVE,FR0010879056,ALDEI,Euronext Growth Paris,EUR
DEKUPLE,FR0000062978,DKUPL,Euronext Paris,EUR
DELFINGEN,FR0000054132,ALDEL,Euronext Growth Paris,EUR
DELTA DRONE,FR0011522168,ALDR,Euronext Growth Paris,EUR
DELTA DRONE BSA Y,FR0013400991,ALDBY,Euronext Growth Paris,EUR
DELTA PLUS GROUP,FR0013283108,ALDLT,Euronext Growth Paris,EUR
DERICHEBOURG,FR0000053381,DBG,Euronext Paris,EUR
DESERT CONTROL,NO0010963275,DSRT,Euronext Growth Oslo,NOK
DESIGN YOUR HOME,SE0007045380,MLDYH,Euronext Access Paris,EUR
DEUTSCHE TELEKOM,DE0005557508,DTEL,Traded not listed Brussels,EUR
DEVERNOIS,FR0000060840,ALDEV,Euronext Growth Paris,EUR
DEXIA,BE0974290224,DEXB,Euronext Expert Market,EUR
DGB GROUP N.V.,NL0009169515,DGB,Euronext Amsterdam,EUR
DIAGEO,GB0002374006,DGE,Euronext Paris,EUR
DIAGEO PLC,GB0002374006,GUI1,Euronext Dublin,EUR
DIAGNOSTIC MEDICAL,FR0012202497,DGM,Euronext Paris,EUR
DIEGEM KENNEDYCERT,BE0003698124,DIEG,Euronext Brussels,EUR
DIERK. ANTWERP.,BE0036367895,-,Euronext Expert Market,EUR
DIERKUNDE ANTW,BE0026342551,-,Euronext Expert Market,EUR
DISRUPTIVE CAP SHA,GG00BMB5XZ39,DCACS,Euronext Amsterdam,GBP
DISRUPTIVE CAP WAR,GG00BMB5XY22,DCACW,Euronext Amsterdam,GBP
DISTRI-LAND CERT,BE0003605160,DISL,Euronext Brussels,EUR
DLT,NO0003055808,DLTX,Oslo Børs,NOK
DMS IMAGING,BE0974289218,DMSIM,Euronext Brussels,
DNB BANK,NO0010161896,DNB,Oslo Børs,NOK
DNO,NO0003921009,DNO,Oslo Børs,NOK
DNXCORP,FR0010436584,ALDNX,Euronext Growth Paris,EUR
DOCK.PETR.AMBES AM,FR0000065260,DPAM,Euronext Paris,EUR
DOF,NO0010070063,DOF,Oslo Børs,NOK
DOLFINES,FR0014004QZ9,ALDOL,Euronext Growth Paris,EUR
DONEGAL INVESTMENT,IE00BLRPQQ22,DQ7A,Euronext Growth Dublin,EUR
DONTNOD,FR0013331212,ALDNE,Euronext Growth Paris,EUR
DPA GROUP,NL0009197771,DPA,Euronext Amsterdam,EUR
DRONE VOLT,FR0013088606,ALDRV,Euronext Growth Paris,EUR
DRONE VOLT BS26,FR0014007951,BNBS,Euronext Growth Paris,EUR
DSC2,NL00150000S7,DSC2,Euronext Amsterdam,EUR
DSC2 TREAS SHARES,NL00150002R5,DSC2S,Euronext Amsterdam,EUR
DSM KON,NL0000009827,DSM,Euronext Amsterdam,EUR
DUTCH STAR C W11,NL00150000T5,DSCW1,Euronext Amsterdam,EUR
DUTCH STAR C W12,NL00150000U3,DSCW2,Euronext Amsterdam,EUR
DUTCH STAR C W13,NL00150000V1,DSCW3,Euronext Amsterdam,EUR
DYNAFOND,FR0000052920,MLDYN,Euronext Access Paris,EUR
DYNEX ENERGY SA,LU0881232630,MLDYX,Euronext Access Paris,EUR
E PANGO,FR0014004339,ALAGO,Euronext Growth Paris,EUR
E.ON SE,DE000ENAG999,EON,Traded not listed Brussels,EUR
EAM SOLAR,NO0010607781,EAM,Euronext Expand Oslo,NOK
EASE2PAY NV,NL0000345627,EAS2P,Euronext Amsterdam,EUR
EASSON HOLDINGS,HK0000038783,MLEAS,Euronext Access Paris,EUR
EAUX DE ROYAN,FR0007200100,MLEDR,Euronext Access Paris,EUR
EAVS,FR0010536185,MLEAV,Euronext Access Paris,EUR
EBUSCO HOLDING,NL0015000CZ2,EBUS,Euronext Amsterdam,EUR
ECFC,BE0003783975,-,Euronext Expert Market,EUR
ECIT AS B-AKSJER,NO0010939804,ECIT,Euronext Growth Oslo,NOK
ECOLUTIONS,DE000A0XYM45,MLECO,Euronext Access Paris,EUR
ECOMIAM,FR0013534617,ALECO,Euronext Growth Paris,EUR
ECONOCOM GROUP,BE0974313455,ECONB,Euronext Brussels,EUR
ECOONLINE HOLDING,NO0010936891,ECO,Euronext Growth Oslo,NOK
ECOSLOPS,FR0011490648,ALESA,Euronext Growth Paris,EUR
EDDA WIND,NO0010998529,EWIND,Oslo Børs,NOK
EDENRED,FR0010908533,EDEN,Euronext Paris,EUR
EDF,FR0010242511,EDF,Euronext Paris,EUR
EDILIZIACROBATICA,IT0005351504,ALEAC,Euronext Growth Paris,EUR
EDITIONS DU SIGNE,FR0000052755,MLEDS,Euronext Access Paris,EUR
EDP,PTEDP0AM0009,EDP,Euronext Lisbon,EUR
EDP RENOVAVEIS,ES0127797019,EDPR,Euronext Lisbon,EUR
EDUNIVERSAL,FR0010439265,MLEDU,Euronext Access Paris,EUR
EES,FR0010945733,MLEES,Euronext Access Paris,EUR
EGIDE,FR0000072373,GID,Euronext Paris,EUR
EHC ORD SHARES,NL0015000K10,EHCS,Euronext Amsterdam,EUR
EHC TREAS SHARES,NL0015000K02,EHCT,Euronext Amsterdam,EUR
EHC WARRANTS,NL0015000K28,EHCW,Euronext Amsterdam,EUR
EIDESVIK OFFSHORE,NO0010263023,EIOF,Oslo Børs,NOK
EIFFAGE,FR0000130452,FGR,Euronext Paris,EUR
EKINOPS,FR0011466069,EKI,Euronext Paris,EUR
EKOPAK,BE0974380124,EKOP,Euronext Brussels,EUR
ELEC.STRASBOURG,FR0000031023,ELEC,Euronext Paris,EUR
ELECT. MADAGASCAR,FR0000035719,EEM,Euronext Paris,EUR
ELECTROMAGNET GEO,NO0010358484,EMGS,Oslo Børs,NOK
ELEKTROIMPORTØREN,NO0010911902,ELIMP,Euronext Growth Oslo,NOK
ELIA GROUP,BE0003822393,ELI,Euronext Brussels,EUR
ELIOR GROUP,FR0011950732,ELIOR,Euronext Paris,EUR
ELIS,FR0012435121,ELIS,Euronext Paris,EUR
ELKEM,NO0010816093,ELK,Oslo Børs,NOK
ELLIPTIC LABORATOR,NO0010722283,ELABS,Euronext Growth Oslo,NOK
ELOP,NO0010864036,ELOP,Euronext Growth Oslo,NOK
ELOPAK,NO0011002586,ELO,Oslo Børs,NOK
EMD MUSIC,BE0003849669,EMD,Euronext Expert Market,EUR
EMOVA GROUP,FR0013356755,ALEMV,Euronext Growth Paris,EUR
EMULATION,BE0024644065,-,Euronext Expert Market,EUR
ENCRES DUBUIT,FR0004030708,ALDUB,Euronext Growth Paris,EUR
ENDÚR,NO0010379779,ENDUR,Oslo Børs,NOK
ENENSYS,FR0013330792,ALNN6,Euronext Growth Paris,EUR
ENERGISME,FR0013399359,ALNRG,Euronext Growth Paris,EUR
ENERTIME,FR0011915339,ALENE,Euronext Growth Paris,EUR
ENGAGE XR HOLDINGS,IE00BG0HDR01,EXR,Euronext Growth Dublin,EUR
ENGIE,FR0010208488,ENGI,Euronext Paris,
ENI,IT0003132476,ENI,Traded not listed Brussels,EUR
ENOGIA,FR0014004974,ALENO,Euronext Growth Paris,EUR
ENSURGE MICROPOWER,NO0010299068,ENSU,Oslo Børs,NOK
ENTECH,FR0014004362,ALESE,Euronext Growth Paris,EUR
ENTP ORD SHARES,NL0015000F82,ENTPA,Euronext Amsterdam,EUR
ENTP TREAS SHARES,NL0015000F90,ENTPT,Euronext Amsterdam,EUR
ENTP WARRANTS,NL0015000FD2,ENTPW,Euronext Amsterdam,EUR
ENTRA,NO0010716418,ENTRA,Oslo Børs,NOK
ENTREPARTICULIERS,FR0010424697,ALENT,Euronext Growth Paris,EUR
ENTREPRENDRE,FR0000045122,ALENR,Euronext Growth Paris,EUR
ENVEA,FR0010278762,ALTEV,Euronext Growth Paris,EUR
ENVIPCO,NL0015000GX8,ENVI,Euronext Amsterdam,EUR
ENVIPCO HOLDING,NL0015000GX8,ENVIP,Euronext Growth Oslo,NOK
EO2,FR0010465534,ALEO2,Euronext Growth Paris,EUR
EPIC Ord Shares,KYG3166N1060,EPIC,Euronext Amsterdam,EUR
EPIC WARRANTS,KYG3166N1144,EPICW,Euronext Amsterdam,EUR
EQUINOR,NO0010096985,EQNR,Oslo Børs,NOK
EQUITY BCDC,CG000A0BKQF7,-,Euronext Expert Market,EUR
ERAMET,FR0000131757,ERA,Euronext Paris,EUR
ERYTECH PHARMA,FR0011471135,ERYP,Euronext Paris,EUR
ESG CORE INVEST,NL00150006O3,ESG,Euronext Amsterdam,EUR
ESG CORE TREAS SHA,NL00150006Q8,ESGT,Euronext Amsterdam,EUR
ESG CORE WARRANTS,NL00150006P0,ESGWA,Euronext Amsterdam,EUR
ESI GROUP,FR0004110310,ESI,Euronext Paris,EUR
ESKER,FR0000035818,ALESK,Euronext Growth Paris,EUR
ESPERITE,NL0009272137,ESP,Euronext Amsterdam,
ESSILORLUXOTTICA,FR0000121667,EL,Euronext Paris,EUR
ESSO,FR0000120669,ES,Euronext Paris,EUR
ESTORIL SOL N,PTESO0AM0000,ESON,Euronext Lisbon,EUR
ETEX,BE0941244536,-,Euronext Expert Market,EUR
EUPEN FINANZ,BE0049483135,-,Euronext Expert Market,EUR
EURASIA FONC INV,FR0000061475,EFI,Euronext Paris,EUR
EURASIA GROUPE,FR0010844001,ALEUA,Euronext Growth Paris,EUR
EURAZEO,FR0000121121,RF,Euronext Paris,EUR
EURO RESSOURCES,FR0000054678,EUR,Euronext Paris,EUR
EUROBIO-SCIENTIFIC,FR0013240934,ALERS,Euronext Growth Paris,EUR
EUROCASTLE INVEST.,GB00B94QM994,ECT,Euronext Amsterdam,EUR
EUROCOMMERCIAL,NL0015000K93,ECMPA,Euronext Amsterdam,
EUROFINS CEREP,FR0013256518,ALECR,Euronext Growth Paris,EUR
EUROFINS SCIE NV22,FR0014006O73,ERFNV,Euronext Paris,EUR
EUROFINS SCIENT.,FR0014000MR3,ERF,Euronext Paris,EUR
EUROLAND CORPORATE,FR0010157115,MLERO,Euronext Access Paris,EUR
EUROLOG CANOLA,ES0105586004,MLCAN,Euronext Access Paris,EUR
EUROMEDIS GROUPE,FR0000075343,ALEMG,Euronext Growth Paris,EUR
EURONAV,BE0003816338,EURN,Euronext Brussels,EUR
EURONEXT,NL0006294274,ENX,Euronext Paris,
EURONEXT,NL0006294274,ENXP,Euronext Lisbon,EUR
EUROPACORP,FR0010490920,ALECP,Euronext Growth Paris,EUR
EUROPCAR MOBILITY,FR0012789949,EUCAR,Euronext Paris,EUR
EUROPLASMA,FR0013514114,ALEUP,Euronext Growth Paris,EUR
EUROPRIS,NO0010735343,EPR,Oslo Børs,NOK
EUTELSAT COMMUNIC.,FR0010221234,ETL,Euronext Paris,EUR
EVERFUEL,DK0061414711,EFUEL,Euronext Growth Oslo,NOK
EVERGREEN,FR0000035784,EGR,Euronext Paris,EUR
EVERSET,FR0000044745,MLEVE,Euronext Access Paris,EUR
EVOLIS,FR0004166197,ALTVO,Euronext Growth Paris,EUR
EVS BROADC.EQUIPM.,BE0003820371,EVS,Euronext Brussels,EUR
EXACOMPTA CLAIREF.,FR0000064164,ALEXA,Euronext Growth Paris,EUR
EXACT THERAPEUTICS,NO0010852213,EXTX,Euronext Growth Oslo,NOK
EXCLUSIVE NETWORKS,FR0014005DA7,EXN,Euronext Paris,EUR
EXEL INDUSTRIES,FR0004527638,EXE,Euronext Paris,EUR
EXMAR,BE0003808251,EXM,Euronext Brussels,EUR
EXPLOSIFS PROD.CHI,FR0014003AQ4,EXPL,Euronext Paris,EUR
FACEPHI,ES0105029005,ALPHI,Euronext Growth Paris,EUR
FAGRON,BE0003874915,FAGR,Euronext Brussels,
FAIFEY INVEST,ES0105553004,MLECE,Euronext Access Paris,EUR
FARMINVESTE,PTFNV1AM0002,MLFMV,Euronext Access Lisbon,EUR
FASHION B AIR,FR0004034593,ALFBA,Euronext Growth Paris,EUR
FASTNED,NL0013654809,FAST,Euronext Amsterdam,EUR
FAURECIA,FR0000121147,EO,Euronext Paris,EUR
FAUVET GIREL,FR0000063034,FAUV,Euronext Paris,EUR
FAYENC.SARREGUEMI.,FR0000031973,FAYE,Euronext Paris,EUR
FBD HOLDINGS PLC,IE0003290289,EG7,Euronext Dublin,EUR
FD,FR0012300424,MLFDV,Euronext Access Paris,EUR
FD TECHNOLOGIES,GB0031477770,GYQ,Euronext Growth Dublin,EUR
FDJ,FR0013451333,FDJ,Euronext Paris,EUR
FERM.CAS.MUN.CANNE,FR0000062101,FCMC,Euronext Paris,EUR
FERMENTALG,FR0011271600,FALG,Euronext Paris,EUR
FI BELGO-TUNISIENN,BE0011238830,-,Euronext Expert Market,EUR
FIDUCIAL OFF.SOL.,FR0000061418,SACI,Euronext Paris,EUR
FIDUCIAL REAL EST.,FR0000060535,ORIA,Euronext Paris,EUR
FIGEAC AERO,FR0011665280,FGA,Euronext Paris,EUR
FIMMOBEL,BE0945246784,-,Euronext Expert Market,EUR
FIN.ETANG BERRE,FR0000062341,BERR,Euronext Paris,EUR
FIN.ETANG BERRE PF,FR0000062507,EBPF,Euronext Paris,EUR
FIN.OUEST AFRICAIN,SN0000033192,FOAF,Euronext Paris,EUR
FINANCIERE MARJOS,FR0000060824,FINM,Euronext Paris,EUR
FINASUCRE,BE0012544319,-,Euronext Expert Market,EUR
FINATIS,FR0000035123,FNTS,Euronext Paris,EUR
FINAXO,FR0010487272,MLFXO,Euronext Access Paris,EUR
FIPP,FR0000038184,FIPP,Euronext Paris,EUR
FIRSTCAUTION,CH0120879058,MLFIR,Euronext Access Paris,EUR
FJORDKRAFT HOLDING,NO0010815673,FKRFT,Oslo Børs,NOK
FLEURY MICHON,FR0000074759,ALFLE,Euronext Growth Paris,EUR
FLEX LNG,BMG359472021,FLNG,Oslo Børs,NOK
FLEXDEAL,PTFXD0AM0018,FLEXD,Euronext Lisbon,EUR
FLORIDIENNE,BE0003215143,FLOB,Euronext Brussels,EUR
FLOW TRADERS,NL0011279492,FLOW,Euronext Amsterdam,EUR
FLOWSPARKS,BE0003847648,UNI,Euronext Access Brussels,EUR
FLUTTER ENTERTAIN,IE00BWT6H894,FLTR,Euronext Dublin,EUR
FLUXYS BELGIUM D,BE0974265945,FLUX,Euronext Brussels,EUR
FLYR,NO0010931900,FLYR,Euronext Growth Oslo,NOK
FNAC DARTY,FR0011476928,FNAC,Euronext Paris,EUR
FNG NV,BE0974332646,FNG,Euronext Brussels,
FNPTECHNOLOGIESSA,FR0013230067,MLFNP,Euronext Access Paris,EUR
FOCUS HOME INT,FR0012419307,ALFOC,Euronext Growth Paris,EUR
FONCIERE 7 INVEST,FR0000065930,LEBL,Euronext Paris,EUR
FONCIERE ATLAND,FR0013455482,FATL,Euronext Paris,EUR
FONCIERE EURIS,FR0000038499,EURS,Euronext Paris,EUR
FONCIERE INEA,FR0010341032,INEA,Euronext Paris,EUR
FONCIERE LYONNAISE,FR0000033409,FLY,Euronext Paris,EUR
FONCIERE VINDI,FR0011605617,MLVIN,Euronext Access Paris,EUR
FONCIERE VOLTA,FR0000053944,SPEL,Euronext Paris,EUR
FOOT LOCKER,US3448491049,FOOTL,Traded not listed Brussels,USD
FORESTIERE EQUAT.,CI0000053161,FORE,Euronext Paris,EUR
FORFARMERS,NL0011832811,FFARM,Euronext Amsterdam,EUR
FORSEE POWER,FR0014005SB3,FORSE,Euronext Paris,EUR
FOUNTAIN,BE0003752665,FOU,Euronext Brussels,EUR
FOUNTAINE PAJOT,FR0010485268,ALFPC,Euronext Growth Paris,EUR
FOYER,NSCEX0000018,-,Euronext Expert Market,EUR
FRANCAISE ENERGIE,FR0013030152,FDE,Euronext Paris,EUR
FRANCE SOIR GROUPE,FR0013222346,MLFSG,Euronext Access Paris,EUR
FRANCE TOURISME,FR0010823724,MLFTI,Euronext Access Paris,EUR
FREELANCE.COM,FR0004187367,ALFRE,Euronext Growth Paris,EUR
FREY,FR0010588079,FREY,Euronext Paris,EUR
FROID INVEST,BE6326486493,-,Euronext Expert Market,EUR
FRONTLINE,BMG3682E1921,FRO,Oslo Børs,NOK
FRØY,NO0010936792,FROY,Oslo Børs,NOK
FUGRO,NL00150003E1,FUR,Euronext Amsterdam,EUR
FUT.CLUBE PORTO,PTFCP0AM0008,FCP,Euronext Lisbon,EUR
G.A.I.,FR0000053415,MLGAI,Euronext Access Paris,EUR
GALAPAGOS,BE0003818359,GLPG,Euronext Amsterdam,
GALEO,FR0011100759,MLGAL,Euronext Access Paris,EUR
GALIMMO,FR0000030611,GALIM,Euronext Paris,EUR
GALP ENERGIA-NOM,PTGAL0AM0009,GALP,Euronext Lisbon,EUR
GAMING INNOVATION,US36467X2062,GIG,Oslo Børs,NOK
GASCOGNE,FR0000124414,ALBI,Euronext Growth Paris,EUR
GAUMONT,FR0000034894,GAM,Euronext Paris,EUR
GAUSSIN,FR0013495298,ALGAU,Euronext Growth Paris,EUR
GBL,BE0003797140,GBLB,Euronext Brussels,EUR
GC RIEBER SHIPPING,NO0010262686,RISH,Oslo Børs,NOK
GEA GRENOBL.ELECT.,FR0000053035,GEA,Euronext Paris,EUR
GECI INTL,FR0000079634,ALGEC,Euronext Growth Paris,EUR
GECINA,FR0010040865,GFC,Euronext Paris,EUR
GEN BELGE ARGENTIN,BE6303070104,-,Euronext Expert Market,EUR
GENERAL ELECTRIC,US3696043013,GNE,Euronext Paris,EUR
